ElementType,PredefinedType,GlobalId,id,Name,Description,ObjectType,Pset_EnvironmentalImpactIndicators_Reference,Pset_RailingCommon_IsExternal,Pset_RailingCommon_Reference,Pset_RailingCommon_Height,Pset_SpaceCommon_Reference,Pset_SpaceCommon_IsExternal,Pset_SiteCommon_Reference
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzF,43856,STB Stütze - rechteckig:Auflager UKA 2:2682013,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzo,43865,STB Stütze - rechteckig:Auflager UKA 2:2682016,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzn,43874,STB Stütze - rechteckig:Auflager UKA 2:2682019,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAo,43896,STB Stütze - rechteckig:Auflager UKA 2:2683232,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAs,43905,STB Stütze - rechteckig:Auflager UKA 2:2683236,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAr,43914,STB Stütze - rechteckig:Auflager UKA 2:2683239,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7J,43936,STB Stütze - rechteckig:Auflager UKA 2:2683393,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7_,43945,STB Stütze - rechteckig:Auflager UKA 2:2683436,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7z,43954,STB Stütze - rechteckig:Auflager UKA 2:2683439,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcSite,,2B9jCywhbBAPv5PLpqgYNY,35,Default,,,,,,,Project Information,False,Project Information
